,location,coordinates
413,"East Avenue East, Los Angeles","34.0224417, -118.1669736"
414,"8215 W Ave D, Los Angeles","34.0549076, -118.242643"
415,"Dahlia Street, Los Angeles","34.1436214, -118.1997992"
416,"Eshelman Elementary School, Los Angeles","33.78813239999999, -118.3141989"
417,"Attica Drive, Los Angeles","33.7577783, -118.1212001"
418,"Conservation Corps of Long Beach - Deforest, Los Angeles","43.2477685, -89.343727"
419,"NASA Bixby Village, Los Angeles","33.7721096, -118.1149516"
420,"Los Altos, Los Angeles","34.1095322, -118.3391437"
421,"Brayton Avenue, Los Angeles","33.8249692, -118.1752493"
422,"Stratford Square, Los Angeles","34.1222624, -118.2013848"
423,"CCA 4th and Los Altos, Los Angeles","34.0549076, -118.242643"
424,"Rosina Street, Los Angeles","34.0549076, -118.242643"
425,"Eastside, Los Angeles",
426,"Alamitos Beach, Los Angeles","33.76881729999999, -118.1749342"
427,"Bluff Heights, Los Angeles","33.7672887, -118.157616"
428,"Long Beach Signal Hill, Los Angeles","33.8044614, -118.1678456"
429,"West Melrose Way, Los Angeles","33.7722594, -118.1980445"
430,"CCA - East Harding Street, Los Angeles","33.8674018, -118.1691459"
431,"CCA - West 31st Street, Los Angeles","34.026482, -118.3151554"
432,"CCA - Maury and Tehachapi 2, Los Angeles","34.0549076, -118.242643"
433,"Craftsman Village, Los Angeles","34.0549076, -118.242643"
434,"CCA 61st and Walnut, Los Angeles","34.0202894, -117.8653386"
435,"Chestnut Ave, Los Angeles","34.1162656, -118.1731676"
436,"Apex Logistics International Inc, Los Angeles","33.8594947, -118.2024763"
437,"Camden Harbor View, Los Angeles","33.7660642, -118.1947576"
438,"AirFalcon, Los Angeles","34.0549076, -118.242643"
439,"Bixby Knolls, Los Angeles","33.8414986, -118.1763396"
440,"Upper Westside, Los Angeles","33.8116758, -118.2154685"
441,"CCA Carson & Long Beach, Los Angeles","33.833919, -118.1893631"
442,"Little Owl School, Los Angeles","33.8194539, -118.1860877"
443,"710 North Long Beach, Los Angeles","33.8601171, -118.1772884"
444,"E Ocean Blvd, Long Beach CA, Los Angeles","33.7611192, -118.1532623"
445,"CCA Maury and Tehachapi 3, Los Angeles","34.0549076, -118.242643"
446,"AQMD - South Susana Road, Los Angeles","33.8595169, -118.2037651"
447,"Jordan HS, Los Angeles","33.94345940000001, -118.2310973"
448,"Coastline Drive, Los Angeles","34.0426633, -118.5727107"
449,"Mariposa Circle, Los Angeles","33.9654757, -118.2992882"
450,"Dry Gulch Trail, Los Angeles","34.0549076, -118.242643"
451,"Central Malibu 3, Los Angeles","34.031947, -118.7722699"
452,"Vantage Point Terrace, Los Angeles","34.0377424, -118.7117031"
453,"Central Malibu 2, Los Angeles","34.031947, -118.7722699"
454,"East Manhattan Beach, Los Angeles","33.8847361, -118.4109089"
455,"Manhattan Beach Tree Section, Los Angeles","33.8847361, -118.4109089"
456,"Magnolia Avenue, Los Angeles","34.0451098, -118.286386"
457,"North Mountain Avenue, Los Angeles","34.0549076, -118.242643"
458,"California Avenue, Los Angeles","33.9947612, -118.463212"
459,"NASA Leafwood Drive, Los Angeles","34.0549076, -118.242643"
460,"South Mayflower Avenue, Los Angeles","34.130233, -118.0094363"
461,"West Chestnut Avenue, Los Angeles","34.2936303, -118.5844657"
462,"Alhambra Avenue, Los Angeles","34.0635463, -118.2154105"
463,"College View Drive, Los Angeles","34.1271044, -118.2217914"
464,"Avenida Cesar Chavez, Los Angeles","34.0408087, -118.1558602"
465,"Crest Vista Drive, Los Angeles","34.0497642, -118.145145"
466,"Gracebee Avenue, Los Angeles","33.9014683, -118.0544036"
467,"Wild Hare Ranch, Los Angeles","34.21477890000001, -118.5004921"
468,"Wild Hare Road, Los Angeles","34.0549076, -118.242643"
469,"35th Street West, Los Angeles","34.6666839, -118.192416"
470,"Pico Rivera Station, Los Angeles","34.3871821, -118.1122679"
471,"Garfield Avenue, Los Angeles","33.9906497, -118.4516957"
472,"Pomona Station, Los Angeles","34.0549076, -118.242643"
473,"Pomona Historic Lincoln Park, Los Angeles","34.055103, -117.7499909"
474,"N Garey and Bonita, Los Angeles","34.0549076, -118.242643"
475,"32508 Seawolf Dr, Los Angeles","33.7438796, -118.3930672"
476,"Mazur Drive, Los Angeles","33.7860005, -118.3787646"
477,"Verde Ridge Road, Los Angeles","33.7678936, -118.3963723"
478,"Narcissa Drive, Los Angeles","33.7434005, -118.3734997"
479,"720 Ave.C, Los Angeles","34.0851397, -118.3213447"
480,"Morgan Lane, Los Angeles","34.0549076, -118.242643"
481,"Perkins Lane, Los Angeles","34.0549076, -118.242643"
482,"Highridge Park, Los Angeles","33.7668641, -118.3816244"
483,"Charlotte Avenue, Los Angeles","34.0549076, -118.242643"
484,"San Fernando MS, Los Angeles","34.2828802, -118.4373758"
485,"1st Street, Los Angeles","34.0391703, -118.1995553"
486,"Milton Drive, Los Angeles","34.0549076, -118.242643"
487,"UltimateReality, Los Angeles","34.0549076, -118.242643"
488,"San Marino Tennis Club, Los Angeles","34.121397, -118.1064585"
489,"JimmyC Place, Los Angeles","34.0549076, -118.242643"
490,"NASA - Kristin Lane, Los Angeles","34.0549076, -118.242643"
491,"23998-23900 Via Hamaca, Los Angeles","34.3867023, -118.5553337"
492,"Saugus, Los Angeles","34.1485994, -118.4658643"
493,"Bakerton Avenue, Los Angeles","34.4289082, -118.4640972"
494,"West Rustic Road 1, Los Angeles","34.0337787, -118.5180962"
495,"431 7th St, Los Angeles","34.0465967, -118.2550311"
496,"500 Broadway Roof, Los Angeles","34.0155463, -118.4917291"
497,"Michigan Avenue, Los Angeles","34.0461633, -118.2114052"
498,"1027 11th St, Los Angeles","34.0320923, -118.2469692"
499,"14th Street, Los Angeles","34.0234117, -118.2328765"
500,"Franklin Street 1, Los Angeles","34.0549076, -118.242643"
501,"350 21st St, Los Angeles","34.0302042, -118.268916"
502,"Princeton Street, Los Angeles","34.0273152, -118.1839928"
503,"25th Court, Los Angeles","34.034347, -118.3283973"
504,"Ramona Avenue, Los Angeles","34.0549076, -118.242643"
505,"Vista Avenue, Los Angeles","34.1061835, -118.491404"
506,"Manzanita Avenue, Los Angeles","34.0929343, -118.2812527"
507,"East Burnett Street, Los Angeles","33.8007588, -118.1676801"
508,"CCA 19th and Molino, Los Angeles","34.0415372, -118.2339051"
509,"East Hill Street, Los Angeles","33.796895, -118.1763487"
510,"Montara Ave Elementary School, Los Angeles","33.9417148, -118.2192419"
511,"Bryson Elementary School, Los Angeles","33.9448238, -118.1926976"
512,"State Elementary School, Los Angeles","33.9641069, -118.2119999"
513,"Laurel Street, Los Angeles","33.9483046, -118.2306339"
514,"Prospect Circle, Los Angeles","34.1089934, -118.3684984"
515,"325 Oaklawn Avenue, Los Angeles","34.1221267, -118.153307"
516,"Winding Lane, Los Angeles","34.0549076, -118.242643"
517,"CCA Hanscom and Illinois, Los Angeles","40.6331249, -89.3985283"
518,"West 230th Street, Los Angeles","33.8171063, -118.3199139"
519,"Hollywood Riviera, Los Angeles","33.8141823, -118.3831293"
520,"Calle Cabrillo, Los Angeles","33.8131311, -118.3763143"
521,"Yukon Avenue, Los Angeles","33.888448, -118.3357615"
522,"Madrona, Los Angeles","34.0549076, -118.242643"
523,"Walteria, Los Angeles","33.7991798, -118.3478263"
524,"Eleda Drive, Los Angeles","33.7960386, -118.3483492"
525,"Hillside, Los Angeles","33.9796562, -118.3902372"
526,"Dorty Avenue, Los Angeles","34.0549076, -118.242643"
527,"Madison Street, Los Angeles","34.0549076, -118.242643"
528,"Maricopa Street-Victor, Los Angeles","33.8395277, -118.3481042"
529,"Southeast Torrance, Los Angeles","33.8104915, -118.319894"
530,"Marble Estates, Los Angeles","33.8161975, -118.3330449"
531,"CCA 179th and Hawthorne, Los Angeles","33.8680885, -118.3481674"
532,"Maricopa Street, Los Angeles","34.1103751, -118.2236032"
533,"Guenser Park, Los Angeles","33.8692312, -118.3134991"
534,"North Torrance, Los Angeles","33.8652045, -118.3363096"
535,"West 204th Street, Los Angeles","33.8456063, -118.2992306"
536,"CCA Ivy Terrace and Valle, Los Angeles","34.0549076, -118.242643"
537,"Van Deene Ave Elementary School, Los Angeles","33.8386224, -118.2884854"
538,"NASA - Brookfield Place, Los Angeles","34.0549076, -118.242643"
539,"Betty Way, Los Angeles","34.0549076, -118.242643"
540,"WeHo San Vicente Outdoor, Los Angeles","34.0900091, -118.3617443"
541,"West Hollywood Elementary School, Los Angeles","34.0890748, -118.3873066"
542,"Indian Trail Court, Los Angeles","34.0549076, -118.242643"
543,"White Oak Elementary School, Los Angeles","34.2747421, -118.6671533"
544,"Kirsten Lee Dr, Los Angeles","34.0549076, -118.242643"
545,"CCA Anaconda and Cole, Los Angeles","34.0549076, -118.242643"
546,"Cape Tenez Drive, Los Angeles","34.0023178, -118.0551355"
